company_number,company_name,postcode,website,page_url,vat_number,checksum_valid,label_nearby,evidence
04019277,KEOPS LIMITED,WR11 4SN,https://logcabins.co.uk,https://www.logcabins.co.uk/privacy-policy,861397010,True,True,"Five Oaks Farm, Badgers Hill, Sheriffs Lench, Evesham, Worcestershire WR11 4SN. VAT No. 861 3970 10. This privacy policy explains how we use any personal information we collect ab"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com/about-us/,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com/about-us/team/,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com/contact-us,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com/contact-us/,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com/privacy-policy,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com/,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,https://marketplaceamp.com/amazon-services/,852761903,True,True,"981902 © 2024 Marketplace AMP. All rights reserved. Company number: 05104409 & VAT: 852 7619 03. Read about our Privacy Policy and Cookies , Legal Disclaimer and Anti-Slavery"
08896326,NAGLE AND SISTERS LIMITED,E17 4BZ,https://www.nagleandsisters.com,https://www.nagleandsisters.com/pages/terms-and-conditions,316227425,True,True,ical reasons we cannot accept any visitors at this address. N&S’ VAT number is: GB316227425. AMENDMENTS TO THESE TERMS AND CONDITIONS N&S may revise these terms and condit
